subset_size,predictors,subset_tuple,rss,r2,adj_r2,aic,bic,cp,cv_rmse_mean,cv_rmse_se,cv_rmse_min_fold,cv_rmse_max_fold,n_parameters_including_intercept
3,shell_weight + diameter + whole_weight,"('shell_weight', 'diameter', 'whole_weight')",338513.8268945051,0.5349972857040963,0.5349780410271444,317447.98837702355,317484.75330298324,4.670107508066076,2.1608350626170414,0.011694378486002724,2.0998009895893426,2.2356203590515595,4
3,shell_weight + height + whole_weight_2,"('shell_weight', 'height', 'whole_weight_2')",338637.17167379067,0.5348278519835059,0.5348086002943429,317474.39758223115,317511.16250819084,4.671809003117745,2.161497306172576,0.012593692900007088,2.099826915386495,2.245343481783107,4
3,shell_weight + sex_I + whole_weight_2,"('shell_weight', 'sex_I', 'whole_weight_2')",342881.2370145838,0.5289979515589864,0.5289784585926289,318377.27785044943,318414.04277640913,4.730354295574748,2.174684951261879,0.01167855059413588,2.1234896247251855,2.2470326252131074,4
3,shell_weight + whole_weight + whole_weight_2,"('shell_weight', 'whole_weight', 'whole_weight_2')",344942.80145731603,0.5261660640985515,0.526146453931245,318811.82904010883,318848.5939660685,4.758792805241087,2.1812240466712254,0.012516728421173065,2.120516466738579,2.2633143556522017,4
3,whole_weight_1 + sex_I + whole_weight,"('whole_weight_1', 'sex_I', 'whole_weight')",346861.21112635103,0.5235308225445607,0.5235111033147245,319213.8784866942,319250.6434126539,4.785256548399436,2.1873766625059026,0.010436073292856042,2.140397477432011,2.2312104901958,4
3,shell_weight + diameter + whole_weight_2,"('shell_weight', 'diameter', 'whole_weight_2')",348267.5383662511,0.5215990078540325,0.5215792086738035,319507.1985757859,319543.9635017456,4.804656306164431,2.1917375783832185,0.011302496702180934,2.1365163151645037,2.2620977458940623,4
3,whole_weight_1 + whole_weight + whole_weight_2,"('whole_weight_1', 'whole_weight', 'whole_weight_2')",357219.377155386,0.5093022299850909,0.5092819218884397,321346.9818928631,321383.7468188228,4.928143570816185,2.2198527206474323,0.01000388514562522,2.1752237769383305,2.2587409079926246,4
3,shell_weight + height + sex_I,"('shell_weight', 'height', 'sex_I')",366064.0212965604,0.497152701056368,0.49713189013736303,323120.00172520883,323156.7666511685,5.050152125431514,2.2471248503057133,0.010364237003258687,2.196514009720923,2.3046621796407365,4
3,shell_weight + height + diameter,"('shell_weight', 'height', 'diameter')",367354.75911369943,0.49537966686772006,0.4953587825696376,323375.1581649942,323411.9230909539,5.067957370384598,2.2513509506024105,0.011573553247695009,2.1935310805426838,2.321157170134508,4
3,shell_weight + diameter + sex_I,"('shell_weight', 'diameter', 'sex_I')",369379.6927700835,0.4925980976327914,0.4925770982162383,323773.6514345439,323810.4163605036,5.095890572067323,2.257205698126845,0.010701180111494655,2.208119677007492,2.315860436532416,4
